"species" "no_complete" "no_incomplete" "prop_complete" "prop_incomplete"
"Acanthis_flammea" 12578 1179 0.00724487004103967 0.000679098567211462
"Acanthis_hornemanni" 437 49 0.000251709986320109 2.82237742098063e-05
"Accipiter_cooperii" 61695 10311 0.0355360357117143 0.0059390884872921
"Accipiter_gentilis" 473 180 0.000272445820433437 0.000103679170566635
"Accipiter_striatus" 34145 5433 0.0196673626610987 0.00312938296493628
"Actitis_macularius" 48570 3232 0.0279760961912305 0.00186161710706314
"Aechmophorus_clarkii" 123 22 7.08474332205342e-05 1.2671898624811e-05
"Aechmophorus_occidentalis" 305 60 0.000175678594571243 3.45597235222118e-05
"Aegolius_acadicus" 2453 502 0.00141291669666643 0.000289149686802506
"Aegolius_funereus" 19 5 1.09439124487004e-05 2.87997696018432e-06
"Agelaius_phoeniceus" 526976 26618 0.303535747714018 0.0153318453452372
"Aix_sponsa" 129422 7955 0.074546475628195 0.00458204334365325
"Alca_torda" 2156 191 0.00124184606523148 0.000110015119879041
"Alle_alle" 118 33 6.79674562603499e-05 1.90078479372165e-05
"Alopochen_aegyptiaca" 14 3 8.06393548851609e-06 1.72798617611059e-06
"Ammodramus_savannarum" 4528 421 0.00260810713514292 0.00024249406004752
"Ammospiza_caudacuta" 4830 185 0.00278205774353805 0.00010655914752682
"Ammospiza_leconteii" 140 30 8.06393548851609e-05 1.72798617611059e-05
"Ammospiza_maritima" 2921 151 0.00168248254013968 8.69753041975664e-05
"Ammospiza_nelsoni" 1106 96 0.000637050903592771 5.52955576355389e-05
"Anas_acuta" 26266 1713 0.0151290949672403 0.000986680106559148
"Anas_crecca" 48230 2949 0.0277802577579379 0.00169861041111671
"Anas_platyrhynchos" 484663 25167 0.279163654690762 0.0144960760313917
"Anas_rubripes" 128515 5542 0.0740240478076175 0.0031921664626683
"Anhinga_anhinga" 105 21 6.04795161638707e-05 1.20959032327741e-05
"Anser_albifrons" 2316 299 0.00133400532795738 0.000172222622219022
"Anser_brachyrhynchus" 614 90 0.000353661170710634 5.18395852833177e-05
"Anser_caerulescens" 21754 3791 0.0125302037583699 0.00218359853121175
"Anser_rossii" 1439 225 0.000828857369141047 0.000129598963208294
"Anthus_rubescens" 10043 798 0.00578472172222622 0.000459644322845417
"Antigone_canadensis" 8012 1607 0.00461487508099935 0.00092562459500324
"Antrostomus_carolinensis" 459 113 0.00026438188494492 6.50874793001656e-05
"Antrostomus_vociferus" 1995 479 0.00114911080711354 0.000275901792785658
"Aquila_chrysaetos" 1886 669 0.00108632730938152 0.000385340917272662
"Archilochus_colubris" 96120 11112 0.0553646770825833 0.00640046079631363
"Ardea_alba" 96825 7867 0.0557707538339693 0.00453135574915401
"Ardea_herodias" 220306 17604 0.126895240838073 0.0101398228814169
"Ardenna_gravis" 672 89 0.000387068903448772 5.12635898912809e-05
"Ardenna_grisea" 444 75 0.000255741954064367 4.31996544027648e-05
"Arenaria_interpres" 11504 880 0.00662625098999208 0.00050687594499244
"Asio_flammeus" 4149 644 0.00238980488156095 0.00037094103247174
"Asio_otus" 450 105 0.000259197926416589 6.04795161638707e-05
"Athene_cunicularia" 7 0 4.03196774425805e-06 0
"Aythya_affinis" 29913 1545 0.0172297501619987 0.000889912880696954
"Aythya_americana" 30062 1949 0.0173155734754122 0.00112261501907985
"Aythya_collaris" 57696 3580 0.0332326301389589 0.00206206350349197
"Aythya_fuligula" 720 134 0.000414716682266542 7.71833825329397e-05
"Aythya_marila" 34956 1744 0.0201344949240406 0.00100453596371229
"Aythya_valisineria" 14454 1013 0.00832543739650083 0.000583483332133343
"Baeolophus_bicolor" 380191 18269 0.218988264093887 0.0105228598171215
"Bartramia_longicauda" 1031 226 0.000593851249190006 0.000130174958600331
"Bombycilla_cedrorum" 189512 9807 0.10915803873569 0.00564878680970552
"Bombycilla_garrulus" 753 170 0.000433724530203758 9.79192166462668e-05
"Bonasa_umbellus" 15930 2075 0.00917560659514724 0.00119519043847649
"Botaurus_lentiginosus" 7729 904 0.00445186838505292 0.000520699834401325
"Brachyramphus_perdix" 0 0 0 0
"Branta_bernicla" 59340 3506 0.0341795665634675 0.00201943984448124
"Branta_canadensis" 604653 37958 0.348277341781266 0.0218636330909353
"Branta_hutchinsii" 4626 462 0.00266455468356253 0.000266109871121031
"Branta_leucopsis" 734 95 0.000422780617755058 5.4719562243502e-05
"Bubo_scandiacus" 7838 2373 0.00451465188278494 0.00136683706530348
"Bubo_virginianus" 13259 3523 0.00763712290301678 0.00202923176614587
"Bubulcus_ibis" 876 312 0.000504571963424293 0.000179710562315501
"Bucephala_albeola" 115291 6415 0.066407084743322 0.00369501043991648
"Bucephala_clangula" 50793 2895 0.0292565339477284 0.00166750665994672
"Bucephala_islandica" 1081 175 0.00062265101879185 0.000100799193606451
"Buteo_jamaicensis" 251958 32571 0.145126646986824 0.0187607459140327
"Buteo_lagopus" 9696 2954 0.00558485132118943 0.0017014903880769
"Buteo_lineatus" 17762 3110 0.0102308301533588 0.00179134566923465
"Buteo_platypterus" 21423 3977 0.0123395492836057 0.00229073367413061
"Buteo_regalis" 0 0 0 0
"Buteo_swainsoni" 57 20 3.28317373461012e-05 1.15199078407373e-05
"Butorides_virescens" 53127 4802 0.0306009071927425 0.00276592987256102
"Calamospiza_melanocorys" 20 3 1.15199078407373e-05 1.72798617611059e-06
"Calcarius_lapponicus" 2890 289 0.00166462668298654 0.000166462668298654
"Calcarius_ornatus" 0 0 0 0
"Calcarius_pictus" 10 9 5.75995392036864e-06 5.18395852833177e-06
"Calidris_acuminata" 7 0 4.03196774425805e-06 0
"Calidris_alba" 21293 1418 0.0122646698826409 0.000816761465908273
"Calidris_alpina" 17767 1292 0.010233710130319 0.000744186046511628
"Calidris_bairdii" 1949 205 0.00112261501907985 0.000118079055367557
"Calidris_canutus" 4136 388 0.00238231694146447 0.000223486212110303
"Calidris_falcinellus" 0 0 0 0
"Calidris_ferruginea" 48 17 2.76477788177695e-05 9.79192166462668e-06
"Calidris_fuscicollis" 4568 433 0.00263114695082439 0.000249406004751962
"Calidris_himantopus" 3553 331 0.00204651162790698 0.000190654474764202
"Calidris_maritima" 3033 272 0.00174699402404781 0.000156670746634027
"Calidris_mauri" 1026 82 0.000590971272229822 4.72316221470228e-05
"Calidris_melanotos" 9162 854 0.00527726978184175 0.000491900064799482
"Calidris_minuta" 0 0 0 0
"Calidris_minutilla" 35757 2428 0.0205958672330621 0.0013985168118655
"Calidris_pugnax" 435 95 0.000250557995536036 5.4719562243502e-05
"Calidris_pusilla" 27738 1739 0.0159769601843185 0.00100165598675211
"Calidris_ruficollis" 29 6 1.6703866369069e-05 3.45597235222118e-06
"Calidris_subruficollis" 1033 178 0.00059500323997408 0.000102527179782562
"Calonectris_diomedea" 985 150 0.000567355461156311 8.63993088055296e-05
"Calypte_anna" 1 1 5.75995392036864e-07 5.75995392036864e-07
"Caracara_cheriway" 66 29 3.8015695874433e-05 1.6703866369069e-05
"Cardellina_canadensis" 17913 1202 0.0103178054575563 0.00069234646122831
"Cardellina_pusilla" 13524 1043 0.00778976168190654 0.000600763193894449
"Cardinalis_cardinalis" 722823 34504 0.416342717258262 0.0198741450068399
